TA,專案,成效,興趣,類型
30-60 / 中清文心 / 二代/自營商,景立方層峰-副,⠀,"30-60 / 中清文心 / 二代/自營商
-中清交流道-全國加油站（+3 公里）, 文心路四段（+3 公里）
-生活風格 (生活風格內容) 、精品（零售） 、不動產投資信託（投資） 、財務規劃（投資） 、零售業（產業） 、批發（零售） 、 B2B（商業與財務） 、數位行銷（行銷） 、一般保險 (保險) 、自僱（工作機會） 、生產率、業務開發 (商業活動) 、社群媒體（網路媒體） 、電子產品（電腦和電子產品） 、 Digital transformation 、創新（商業與財務） 、管理（商業與財務） 或 Podcast (音樂和音訊串流)、行為：國際飛行常客",名單
30-60 / 北屯潭子 / 汽車市場/技師,景立方層峰-副,⠀,"30-60 / 北屯潭子 / 汽車市場/技師
-頭家厝菜市場（+2 公里）, 洲際棒球場（+2 公里）, 潭子車站（+2 公里）
-汽車經銷（零售業者） 、二手車（交通工具） 、汽車業（產業） 、改裝車（交通工具） 、汽車零件製造和銷售 (汽車) 、發動機、零部件市場、四輪驅動（交通工具） 、汽車技師 (汽車) 、鍍膜、汽車美容（交通工具） 、公路旅行（流行文化） 、機械加工、威士忌（酒類） 、清潔劑 (清潔服務) 、零售銀行業務（銀行業） 、傢俱（居家裝潢） 、消費電子產品零售商 (零售) 、電信服務 (電信) 、淘寶網、進口（郵遞） 或清潔（個人護理）",名單
30-55/中科水湳中清/科技自營商A,原潮APT,優,"30-55/中科水湳中清/科技自營商A
-水湳中央公園（+2 公里）, 中清交流道（+2 公里）, 中科路， 台中市（+3 公里） Taichung
-人工智慧（計算） 、自動化技術、資訊科技（電腦和電子產品） 、 591房屋交易網、工程（科學） 、力學、金屬、時事（政治） 、電機工程（工程） 、高科技（電腦和電子產品） 、機械工程（工程） 、電子工程、消費電子產品（電腦和電子產品） 、科技（電腦和電子產品） 或資訊, 行為：科技早期採用者, 行業類別：資訊科技和技術服務、管理或製造",名單
30-55/中科水湳中清/金融/電腦,原潮APT,⠀,"30-55/中科水湳中清/金融/電腦
-水湳中央公園（+2 公里）, 中清交流道（+2 公里）, 中科路， 台中市（+3 公里） Taichung
-自動化技術、 591房屋交易網、消費電子產品（電腦和電子產品） 、金融經濟學、交易策略（投資） 、倫敦證券交易所 (投資) 、中央處理器（電腦硬體） 、電腦伺服器（計算） 、英偉達、標準普爾500指數或金融服務（商業與財務）、行為：科技早期採用者",名單
30-55/水湳洲際/醫生興趣,原潮APT,差,"30-55/水湳洲際/醫生興趣
-中國醫藥學院水湳經貿園區（+3 公里）, 洲際棒球場（+3 公里）
-個人理財（銀行業） 、金融服務（商業與財務） 、衛生學、保險（商業與財務） 、親子教育（兒童和親子教育） 、高等教育（教育） 、露營（戶外活動） 、健身和保健（健身） 、登山（爬山） 、醫學院 (高等教育) 、家庭（社會觀念） 、高爾夫球（體育運動） 、房地產（產業） 、社群媒體（網路媒體） 、管理（商業與財務） 或精品（零售）、職稱：Doctor、行業類別：健康照護與醫療服務",1510
30-60 / 市區沙鹿 / 直銷/電商/業務,華偉知見,⠀,"30-60 / 市區沙鹿 / 直銷/電商/業務
-新光三越台中店（+6 公里）, 沙鹿車站（+6 公里）
-業務（商業與財務） 、電子商務（零售） 、被動收入（商業與財務） 、直銷、自由工作者（工作機會） 或社群媒體（網路媒體）",名單
35-65 / 青埔蘆竹 / 經濟/科技,新大墨,⠀,"35-65 / 青埔蘆竹 / 經濟/科技
-青埔（+5 公里）, 蘆竹光明河濱公園（+5 公里）
-金融經濟學、倫敦證券交易所 (投資) 、英偉達、納斯達克100指數、美國運通、黃金（金屬與礦物） 、住宅房地產 (房地產) 、大數據 (科學) 、機器學習（計算） 、人工智慧（計算） 、物聯網、 GitHub 、 Python（程式語言） 或藝術和音樂（藝術）、行為：科技早期採用者或國際飛行常客、家長：父母（全部）",名單
30-60 / 靜宜東海 / 行銷人力管理,富旺商城,⠀,"30-60 / 靜宜東海 / 行銷人力管理
-台中JMALL（+3 公里） ; 靜宜大學 Providence University（+3 公里）, 東海藝術商圈（+3 公里）
-小型企業（商業與財務） 、高階管理人員、行銷企劃 (行銷) 、人力資源管理（商業與財務） 、銷售管理 (商業活動) 、商機 (商業和金融業) 、開發潛在顧客 (行銷) 、共用工作空間、行銷策略（行銷） 、時尚（流行文化） 、社群媒體行銷（行銷） 、購物中心（零售） 、服裝（服飾） 、零售業（產業） 或商業領袖 (商業和金融)",名單
30-55/豐原潭子靜宜/科技自營商A,原潮APT,⠀,"30-55/中科嶺東文心/科技自營商A
-中科路（+2 公里）, 文心森林公園（+2 公里）, 嶺東科技大學（+2 公里）
-人工智慧（計算） 、自動化技術、資訊科技（電腦和電子產品） 、 591房屋交易網、工程（科學） 、力學、金屬、時事（政治） 、電機工程（工程） 、高科技（電腦和電子產品） 、機械工程（工程） 、電子工程、消費電子產品（電腦和電子產品） 、科技（電腦和電子產品） 或資訊, 行為：科技早期採用者, 行業類別：資訊科技和技術服務、管理或製造
0507
-IKEA 宜家家居 台中店（+15 公里）",1510
30-55/中科水湳中清/置產/醫師/高管,原潮APT,⠀,"30-55/中科水湳中清/置產/醫師/高管
-水湳中央公園（+2 公里）, 中清交流道（+2 公里）, 中科路， 台中市（+3 公里） Taichung
-閱讀（傳播） 、中小型企業（商業與財務） 、個人理財（銀行業） 、金融服務（商業與財務） 、生物技術、特斯拉汽車（交通工具） 、生物學（科學） 、股票（投資） 、健身和保健（健身） 、書籍（媒體刊物） 、醫學院 (高等教育) 、房地產（產業） 、管理（商業與財務） 或房地產開發（房地產）",1510
30-60 / 彰市 / 房產/教育/金融,坤悅原鄰薈,⠀,"30-60 / 彰市 / 房產/教育/金融
-彰化車站（+5 公里） ; 員林市（+5 公里）
-生活品質（心理學） 、大自然（科學） 、公園與遊憩、身心健康（心理學） 、戶外休閒活動（戶外活動） 、室內設計（設計） 、住宅區（房地產） 、居家裝飾 (室內裝潢) 、教育學（教育） 、語言教育、樂器（樂器） 、繪畫（視覺藝術） 、金融經濟學、股票（投資） 、個人理財（銀行業） 、證券交易所（投資） 或大眾媒體（娛樂與媒體）",名單
28-55 / 沙鹿清水 / 公教職員,華偉知見,⠀,"28-55 / 沙鹿清水 / 公教職員
-沙鹿郵局（+3 公里）, 嘉陽高中（+3 公里）, 臺中市立圖書館沙鹿深波分館/文昌分館（+3 公里）
-社區議題（法律與政府） 、財政預算案、學校（教育） 、快時尚（服飾） 、學習（教育） 、教育（社會觀念） 、均衡飲食（個人護理） 、健身和保健（健身） 、書籍（媒體刊物） 、家庭（社會觀念） 、新聞媒體（新聞服務） 、專業發展（職業訓練） 、社群媒體（網路媒體） 或政府機關概念和作法 (法律和政府), 行業類別：教育和圖書館、社區和社會服務、保護服務或軍事（全球）",名單
30-60 / 花壇大村 / 投資興趣,鉅德富地,⠀,"30-60 / 花壇大村 / 投資興趣
-大村車站（+4 公里）, 彰化花壇國小（+4 公里）
-房屋（房地產） 、股票（投資） 、交易策略（投資） 、投資策略（投資） 、房地產（產業） 、房地產投資（投資） 、投資者（投資） 或投資報酬率（投資）",訊息
,鉅德富地,⠀,"-彰化縣政府（+3 公里）, 彰化花壇國小（+4 公里）
-商業模式 (商業和金融業) 、零售業（產業） 、批發（零售） 、經銷（商業） 、直運（零售業者） 、電子商務（零售） 、教育學（教育） 、傢俱（居家裝潢） 、行銷企劃 (行銷) 、 BMW（交通工具） 、賓士（交通工具） 、特斯拉汽車（交通工具） 、教養方式 (兒童和親子教育) 或財務規劃（投資）、行為：小型企業主、家長：父母（全部）",
"30-60 / 林口+12 / 精品股票興趣
",家悦美(主),⠀,"30-60 / 林口+12 / 精品股票興趣
-林口 三井（+12 公里）
-股票（投資） 、證券交易所（投資） 、倫敦證券交易所 (投資) 、金融市場（投資） 、納斯達克100指數、交易策略（投資） 、精品（零售） 、精品 (生活風格內容) 或英偉達",名單
"30-60 / 林口+12 / 純買房興趣
",家悦美(主),⠀,"30-60 / 林口+12 / 純買房興趣
-林口 三井（+12 公里）
-房地產投資（投資） 、房地產（產業） 、住宅房地產 (房地產) 、住宅區（房地產） 、 591房屋交易網或房屋廣告和入口網站 (網站)",名單
"30-60 / 林口蘆竹 / 日本旅遊興趣
",家悦美(主),⠀,"30-60 / 林口蘆竹 / 日本旅遊興趣
-林口 三井（+5 公里）, 長榮企業大樓（+4 公里） ; 蘆竹光明河濱公園（+4 公里）
-飯店（住宿） 、旅遊網站（網站） 、 Trivago 、旅遊（旅遊觀光） 、日本（地標） 、日本料理（美食和餐飲） 、日本流行文化、東京都或航空公司、行為：國際飛行常客",名單
"30-60 / 林口蘆竹 / 科技產業PM
",家悦美(主),⠀,"30-60 / 林口蘆竹 / 科技產業PM
-長榮企業大樓（+4 公里） ; 蘆竹光明河濱公園（+4 公里）, 廣達電腦（+5 公里）
-專案管理（商業與財務） 、大數據 (科學) 、物聯網、新興技術（科學） 、消費電子產品（電腦和電子產品） 、中央處理器（電腦硬體） 、半導體、 GitHub 、高階管理人員、管理（商業與財務） 、科技傳播學或軟體開發（軟體）、行為：科技早期採用者",名單
30-60 / 大埔渼+8 / 房產/長輩興趣,中祐雅苑,⠀,"30-60 / 大埔渼+8 / 房產/長輩興趣
-大埔美工業園區（+8 公里）
-房地產（產業） 、排屋、別墅（住宿） 、獨立式洋房（房地產） 、登山（爬山） 、健行和露營 (戶外活動) 、觀鳥、中式料理（美食和餐飲） 、庭院家具（居家裝潢） 、花園建築和裝飾 (住家修繕) 或健身和保健（健身）",訊息
30-55/中央公園+15/房地產,原潮APT,⠀,"30-55/中央公園+15/房地產
-台中中央公園（+15 公里）
-房地產（產業） 、 591房屋交易網或房地產投資（投資）",1510
30-55/十期+8/科技新貴/旅遊,原潮APT,優,"30-55/十期+8/科技新貴/旅遊
-太原車站（+8 公里）, 頭家厝菜市場（+8 公里）
-人工智慧（計算） 、房屋（房地產） 、大數據 (科學) 、圖形處理器、航空公司、高科技（電腦和電子產品） 、旅遊（產業） 、 http://hotels.com/（住宿） 、 http://booking.com/（旅遊觀光業） 或房地產（產業）",1510
30-55 / 北斗+8 / 餐飲/保險/教育,羣昱馥昕2,⠀,"30-55 / 北斗+8 / 餐飲/保險/教育
-北斗工業區（+8 公里）
-人壽保險（保險） 、台灣菜、在地美食（美食和餐飲） 、餐飲業（餐飲） 、批發（零售） 、美食家（美食和餐飲） 、食材 (食物和飲品) 、蔬菜（美食和餐飲） 、素食料理（美食和餐飲） 、一般保險 (保險) 、個人理財（銀行業） 、廚具（廚房與餐廚） 、烹飪和烘焙用具（廚房與餐廚） 、親子教育（兒童和親子教育） 、書籍（媒體刊物） 或新聞雜誌 (雜誌)",訊息
,羣昱馥昕2,⠀,,訊息
"30-60 / 新莊蘆洲 / 質感生活
AI*",家悦美(主),⠀,"30-60 / 新莊蘆洲 / 質感生活
-新北市蘆洲區集賢路（+2 公里） ; 新莊副都心-遠雄/中央公園（+3 公里）
-室內設計（設計） 、建築媒體 (設計) 、精品（零售） 、手工藝（工藝品） 、咖啡文化 (咖啡) 、家庭自動化（消費電子產品） 、廚具（廚房與餐廚） 、音響設備品牌和零售商 (零售) 、生活品質（心理學） 、水淨化、工業設計、極簡主義、生活風格 (生活風格內容) 、健身和保健（健身） 、室內盆栽 (植物和花卉) 、瑜珈（靈性） 、自我照護（心理學） 、爵士樂 (音樂) 、威士忌（酒類） 、葡萄酒（酒精飲料） 或塗鴉藝術家 (藝術家)、行為：音樂創作者",名單
30-60 / 新北三重 / 房產/休閒生活,家悦美(主),⠀,"30-60 / 新北三重 / 房產/休閒生活
-新北產業園區（+3 公里） ; 三重大都會公園（+2 公里）
-591房屋交易網、房屋廣告和入口網站 (網站) 、住宅區（房地產） 、儲蓄（銀行業） 、房地產（產業） 、家庭（社會觀念） 、 Art school 、旅遊（旅遊觀光） 、購物（零售） 、育兒雜誌 (媒體刊物) 、戶外休閒活動（戶外活動） 、健身（健身） 、露營（戶外活動） 、登山步道（健行） 、 Weekend Trips 、公路旅行（流行文化） 、生活風格 (生活風格內容) 、政府（政府機構） 、市場研究或汽車（交通工具）",名單
